identifier;name;all_names_french;all_names_english;iso_639_2_t;iso_639_2_b;iso_639_1;version
language-1;abkhaze;abkhaze;Abkhazian;abk;;ab;0
language-2;aceh;aceh;Achinese;ace;;;0
language-3;acoli;acoli;Acoli;ach;;;0
language-4;adangme;adangme;Adangme;ada;;;0
language-5;adyghé;adyghé;"Adyghe; Adygei";ady;;;0
language-6;afar;afar;Afar;aar;;aa;0
language-7;afrihili;afrihili;Afrihili;afh;;;0
language-8;afrikaans;afrikaans;Afrikaans;afr;;af;0
language-9;afro-asiatiques, langues;afro-asiatiques, langues;Afro-Asiatic languages;afa;;;0
language-10;aïnou;aïnou;Ainu;ain;;;0
language-11;akan;akan;Akan;aka;;ak;0
language-12;akkadien;akkadien;Akkadian;akk;;;0
language-13;albanais;albanais;Albanian;sqi;alb;sq;0
language-14;alémanique;"suisse alémanique; alémanique; alsacien";"Swiss German; Alemannic; Alsatian";gsw;;;0
language-15;aléoute;aléoute;Aleut;ale;;;0
language-16;algonquines, langues;algonquines, langues;Algonquian languages;alg;;;0
language-17;allemand;allemand;German;deu;ger;de;0
language-18;allemand, bas;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-19;allemand, moyen haut (ca. 1050-1500);allemand, moyen haut (ca. 1050-1500);German, Middle High (ca.1050-1500);gmh;;;0
language-20;allemand, vieux haut (ca. 750-1050);allemand, vieux haut (ca. 750-1050);German, Old High (ca.750-1050);goh;;;0
language-21;alsacien;"suisse alémanique; alémanique; alsacien";"Swiss German; Alemannic; Alsatian";gsw;;;0
language-22;altai du Sud;altai du Sud;Southern Altai;alt;;;0
language-23;altaïques, langues;altaïques, langues;Altaic languages;tut;;;0
language-24;amazighe standard marocain;amazighe standard marocain;Standard Moroccan Tamazight;zgh;;;0
language-25;amérindiennes de l'Amérique centrale, langues;amérindiennes de l'Amérique centrale, langues;Central American Indian languages;cai;;;0
language-26;amharique;amharique;Amharic;amh;;am;0
language-27;angika;angika;Angika;anp;;;0
language-28;anglais;anglais;English;eng;;en;0
language-29;anglais moyen (1100-1500);anglais moyen (1100-1500);English, Middle (1100-1500);enm;;;0
language-30;anglo-saxon (ca.450-1100);anglo-saxon (ca.450-1100);English, Old (ca.450-1100);ang;;;0
language-31;apaches, langues;apaches, langues;Apache languages;apa;;;0
language-32;arabe;arabe;Arabic;ara;;ar;0
language-33;aragonais;aragonais;Aragonese;arg;;an;0
language-34;araméen d'empire (700-300 BCE);araméen d'empire (700-300 BCE);"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)";arc;;;0
language-35;arapaho;arapaho;Arapaho;arp;;;0
language-36;arawak;arawak;Arawak;arw;;;0
language-37;arménien;arménien;Armenian;hye;arm;hy;0
language-38;aroumain;"aroumain; macédo-roumain";"Aromanian; Arumanian; Macedo-Romanian";rup;;;0
language-39;artificielles, langues;artificielles, langues;Artificial languages;art;;;0
language-40;assamais;assamais;Assamese;asm;;as;0
language-41;asturien;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-42;asturoléonais;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-43;athapascanes, langues;athapascanes, langues;Athapascan languages;ath;;;0
language-44;australiennes, langues;australiennes, langues;Australian languages;aus;;;0
language-45;austronésiennes, langues;austronésiennes, langues;Austronesian languages;map;;;0
language-46;avar;avar;Avaric;ava;;av;0
language-47;avestique;avestique;Avestan;ave;;ae;0
language-48;awadhi;awadhi;Awadhi;awa;;;0
language-49;aymara;aymara;Aymara;aym;;ay;0
language-50;azéri;azéri;Azerbaijani;aze;;az;0
language-51;bable;"asturien; bable; léonais; asturoléonais";"Asturian; Bable; Leonese; Asturleonese";ast;;;0
language-52;bachkir;bachkir;Bashkir;bak;;ba;0
language-53;balinais;balinais;Balinese;ban;;;0
language-54;baloutchi;baloutchi;Baluchi;bal;;;0
language-55;baltes, langues;baltes, langues;Baltic languages;bat;;;0
language-56;bambara;bambara;Bambara;bam;;bm;0
language-57;bamiléké, langues;bamiléké, langues;Bamileke languages;bai;;;0
language-58;banda, langues;banda, langues;Banda languages;bad;;;0
language-59;bantou, langues;bantou, langues;Bantu languages;bnt;;;0
language-60;bas allemand;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-61;bas saxon;"bas allemand; bas saxon; allemand, bas; saxon, bas";"Low German; Low Saxon; German, Low; Saxon, Low";nds;;;0
language-62;bas-sorabe;bas-sorabe;Lower Sorbian;dsb;;;0
language-63;basa;basa;Basa;bas;;;0
language-64;basque;basque;Basque;eus;baq;eu;0
language-65;batak, langues;batak, langues;Batak languages;btk;;;0
language-66;bedja;bedja;"Beja; Bedawiyet";bej;;;0
language-67;bemba;bemba;Bemba;bem;;;0
language-68;bengali;bengali;Bengali;ben;;bn;0
language-69;berbères, langues;berbères, langues;Berber languages;ber;;;0
language-70;bhojpuri;bhojpuri;Bhojpuri;bho;;;0
language-71;bichlamar;bichlamar;Bislama;bis;;bi;0
language-72;biélorusse;biélorusse;Belarusian;bel;;be;0
language-73;bikol;bikol;Bikol;bik;;;0
language-74;bilen;"blin; bilen";"Blin; Bilin";byn;;;0
language-75;bini;"bini; edo";"Bini; Edo";bin;;;0
language-76;birman;birman;Burmese;mya;bur;my;0
language-77;blackfoot;blackfoot;Siksika;bla;;;0
language-78;blin;"blin; bilen";"Blin; Bilin";byn;;;0
language-79;Bliss;"symboles Bliss; Bliss";"Blissymbols; Blissymbolics; Bliss";zbl;;;0
language-80;bokmål, norvégien;norvégien bokmål;"Bokmål, Norwegian; Norwegian Bokmål";nob;;nb;0
language-81;bosniaque;bosniaque;Bosnian;bos;;bs;0
language-82;bouriate;bouriate;Buriat;bua;;;0
language-83;braj;braj;Braj;bra;;;0
language-84;breton;breton;Breton;bre;;br;0
language-85;bugi;bugi;Buginese;bug;;;0
language-86;bulgare;bulgare;Bulgarian;bul;;bg;0
language-87;caddo;caddo;Caddo;cad;;;0
language-88;carélien;carélien;Karelian;krl;;;0
language-89;carib;"karib; galibi; carib";Galibi Carib;car;;;0
language-90;castillan;"espagnol; castillan";"Spanish; Castilian";spa;;es;0
language-91;catalan;"catalan; valencien";"Catalan; Valencian";cat;;ca;0
language-92;caucasiennes, langues;caucasiennes, langues;Caucasian languages;cau;;;0
language-93;cebuano;cebuano;Cebuano;ceb;;;0
language-94;celtes, langues;"celtiques, langues; celtes, langues";Celtic languages;cel;;;0
language-95;celtiques, langues;"celtiques, langues; celtes, langues";Celtic languages;cel;;;0
language-96;chames, langues;chames, langues;Chamic languages;cmc;;;0
language-97;chamorro;chamorro;Chamorro;cha;;ch;0
language-98;chan;chan;Shan;shn;;;0
language-99;cherokee;cherokee;Cherokee;chr;;;0
language-100;chewa;"chichewa; chewa; nyanja";"Chichewa; Chewa; Nyanja";nya;;ny;0
language-101;cheyenne;cheyenne;Cheyenne;chy;;;0
language-102;chibcha;chibcha;Chibcha;chb;;;0
language-103;chichewa;"chichewa; chewa; nyanja";"Chichewa; Chewa; Nyanja";nya;;ny;0
language-104;chinois;chinois;Chinese;zho;chi;zh;0
language-105;chinook, jargon;chinook, jargon;Chinook jargon;chn;;;0
language-106;chipewyan;chipewyan;"Chipewyan; Dene Suline";chp;;;0
language-107;choctaw;choctaw;Choctaw;cho;;;0
language-108;chuang;"zhuang; chuang";"Zhuang; Chuang";zha;;za;0
language-109;chuuk;chuuk;Chuukese;chk;;;0
language-110;copte;copte;Coptic;cop;;;0
language-111;coréen;coréen;Korean;kor;;ko;0
language-112;cornique;cornique;Cornish;cor;;kw;0
language-113;corse;corse;Corsican;cos;;co;0
language-114;couchitiques, langues;couchitiques, langues;Cushitic languages;cus;;;0
language-115;cree;cree;Cree;cre;;cr;0
language-116;créole haïtien;"haïtien; créole haïtien";"Haitian; Haitian Creole";hat;;ht;0
language-117;créoles et pidgins;créoles et pidgins;Creoles and pidgins;crp;;;0
language-118;créoles et pidgins basés sur l'anglais;créoles et pidgins basés sur l'anglais;Creoles and pidgins, English based;cpe;;;0
language-119;créoles et pidgins basés sur le français;créoles et pidgins basés sur le français;Creoles and pidgins, French-based;cpf;;;0
language-120;créoles et pidgins basés sur le portugais;créoles et pidgins basés sur le portugais;Creoles and pidgins, Portuguese-based;cpp;;;0
language-121;croate;croate;Croatian;hrv;;hr;0
language-122;dakota;dakota;Dakota;dak;;;0
language-123;danois;danois;Danish;dan;;da;0
language-124;dargwa;dargwa;Dargwa;dar;;;0
language-125;dayak, langues;dayak, langues;Land Dayak languages;day;;;0
language-126;delaware;delaware;Delaware;del;;;0
language-127;dimili;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-128;dimli;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-129;dinka;dinka;Dinka;din;;;0
language-130;dioula;dioula;Dyula;dyu;;;0
language-131;djaghataï;djaghataï;Chagatai;chg;;;0
language-132;dogri;dogri;Dogri;doi;;;0
language-133;dogrib;dogrib;Dogrib;dgr;;;0
language-134;douala;douala;Duala;dua;;;0
language-135;dravidiennes, langues;dravidiennes, langues;Dravidian languages;dra;;;0
language-136;dzongkha;dzongkha;Dzongkha;dzo;;dz;0
language-137;écossais;écossais;Scots;sco;;;0
language-138;edo;"bini; edo";"Bini; Edo";bin;;;0
language-139;efik;efik;Efik;efi;;;0
language-140;égyptien;égyptien;Egyptian (Ancient);egy;;;0
language-141;ekajuk;ekajuk;Ekajuk;eka;;;0
language-142;élamite;élamite;Elamite;elx;;;0
language-143;erza;erza;Erzya;myv;;;0
language-144;esclave (athapascan);esclave (athapascan);Slave (Athapascan);den;;;0
language-145;espagnol;"espagnol; castillan";"Spanish; Castilian";spa;;es;0
language-146;espéranto;espéranto;Esperanto;epo;;eo;0
language-147;estonien;estonien;Estonian;est;;et;0
language-148;éwé;éwé;Ewe;ewe;;ee;0
language-149;éwondo;éwondo;Ewondo;ewo;;;0
language-150;fang;fang;Fang;fan;;;0
language-151;fanti;fanti;Fanti;fat;;;0
language-152;féroïen;féroïen;Faroese;fao;;fo;0
language-153;fidjien;fidjien;Fijian;fij;;fj;0
language-154;filipino;"filipino; pilipino";"Filipino; Pilipino";fil;;;0
language-155;finno-ougriennes, langues;finno-ougriennes, langues;Finno-Ugrian languages;fiu;;;0
language-156;finnois;finnois;Finnish;fin;;fi;0
language-157;flamand;"néerlandais; flamand";"Dutch; Flemish";nld;dut;nl;0
language-158;fon;fon;Fon;fon;;;0
language-159;français;français;French;fra;fre;fr;0
language-160;français ancien (842-ca.1400);français ancien (842-ca.1400);French, Old (842-ca.1400);fro;;;0
language-161;français moyen (1400-1600);français moyen (1400-1600);French, Middle (ca.1400-1600);frm;;;0
language-162;frioulan;frioulan;Friulian;fur;;;0
language-163;frison occidental;frison occidental;Western Frisian;fry;;fy;0
language-164;frison oriental;frison oriental;Eastern Frisian;frs;;;0
language-165;frison septentrional;frison septentrional;Northern Frisian;frr;;;0
language-166;ga;ga;Ga;gaa;;;0
language-167;gaélique;"gaélique; gaélique écossais";"Gaelic; Scottish Gaelic";gla;;gd;0
language-168;gaélique écossais;"gaélique; gaélique écossais";"Gaelic; Scottish Gaelic";gla;;gd;0
language-169;galibi;"karib; galibi; carib";Galibi Carib;car;;;0
language-170;galicien;galicien;Galician;glg;;gl;0
language-171;galla;galla;Oromo;orm;;om;0
language-172;gallois;gallois;Welsh;cym;wel;cy;0
language-173;ganda;ganda;Ganda;lug;;lg;0
language-174;gayo;gayo;Gayo;gay;;;0
language-175;gbaya;gbaya;Gbaya;gba;;;0
language-176;géorgien;géorgien;Georgian;kat;geo;ka;0
language-177;germaniques, langues;germaniques, langues;Germanic languages;gem;;;0
language-178;gond;gond;Gondi;gon;;;0
language-179;gorontalo;gorontalo;Gorontalo;gor;;;0
language-180;gothique;gothique;Gothic;got;;;0
language-181;goudjrati;goudjrati;Gujarati;guj;;gu;0
language-182;grebo;grebo;Grebo;grb;;;0
language-183;grec ancien (jusqu'… 1453);grec ancien (jusqu'… 1453);Greek, Ancient (to 1453);grc;;;0
language-184;grec moderne (après 1453);grec moderne (après 1453);Greek, Modern (1453-);ell;gre;el;0
language-185;groenlandais;groenlandais;"Kalaallisut; Greenlandic";kal;;kl;0
language-186;guarani;guarani;Guarani;grn;;gn;0
language-187;guèze;guèze;Geez;gez;;;0
language-188;gwich'in;gwich'in;Gwich'in;gwi;;;0
language-189;haida;haida;Haida;hai;;;0
language-190;haïtien;"haïtien; créole haïtien";"Haitian; Haitian Creole";hat;;ht;0
language-191;haoussa;haoussa;Hausa;hau;;ha;0
language-192;haut-sorabe;haut-sorabe;Upper Sorbian;hsb;;;0
language-193;hawaïen;hawaïen;Hawaiian;haw;;;0
language-194;hébreu;hébreu;Hebrew;heb;;he;0
language-195;herero;herero;Herero;her;;hz;0
language-196;hiligaynon;hiligaynon;Hiligaynon;hil;;;0
language-197;hindi;hindi;Hindi;hin;;hi;0
language-198;hiri motu;hiri motu;Hiri Motu;hmo;;ho;0
language-199;hittite;hittite;Hittite;hit;;;0
language-200;hmong;hmong;"Hmong; Mong";hmn;;;0
language-201;hongrois;hongrois;Hungarian;hun;;hu;0
language-202;hupa;hupa;Hupa;hup;;;0
language-203;iakoute;iakoute;Yakut;sah;;;0
language-204;iban;iban;Iban;iba;;;0
language-205;ido;ido;Ido;ido;;io;0
language-206;igbo;igbo;Igbo;ibo;;ig;0
language-207;ijo, langues;ijo, langues;Ijo languages;ijo;;;0
language-208;ilocano;ilocano;Iloko;ilo;;;0
language-209;indéterminée;indéterminée;Undetermined;und;;;0
language-210;indo-aryennes, langues;indo-aryennes, langues;Indic languages;inc;;;0
language-211;indo-européennes, langues;indo-européennes, langues;Indo-European languages;ine;;;0
language-212;indonésien;indonésien;Indonesian;ind;;id;0
language-213;ingouche;ingouche;Ingush;inh;;;0
language-214;interlingua (langue auxiliaire internationale);interlingua (langue auxiliaire internationale);Interlingua (International Auxiliary Language Association);ina;;ia;0
language-215;interlingue;interlingue;"Interlingue; Occidental";ile;;ie;0
language-216;inuktitut;inuktitut;Inuktitut;iku;;iu;0
language-217;inupiaq;inupiaq;Inupiaq;ipk;;ik;0
language-218;iraniennes, langues;iraniennes, langues;Iranian languages;ira;;;0
language-219;irlandais;irlandais;Irish;gle;;ga;0
language-220;irlandais ancien (jusqu'… 900);irlandais ancien (jusqu'… 900);Irish, Old (to 900);sga;;;0
language-221;irlandais moyen (900-1200);irlandais moyen (900-1200);Irish, Middle (900-1200);mga;;;0
language-222;iroquoises, langues;iroquoises, langues;Iroquoian languages;iro;;;0
language-223;islandais;islandais;Icelandic;isl;ice;is;0
language-224;italien;italien;Italian;ita;;it;0
language-225;japonais;japonais;Japanese;jpn;;ja;0
language-226;javanais;javanais;Javanese;jav;;jv;0
language-227;jingpho;"kachin; jingpho";"Kachin; Jingpho";kac;;;0
language-228;judéo-arabe;judéo-arabe;Judeo-Arabic;jrb;;;0
language-229;judéo-espagnol;judéo-espagnol;Ladino;lad;;;0
language-230;judéo-persan;judéo-persan;Judeo-Persian;jpr;;;0
language-231;kabardien;kabardien;Kabardian;kbd;;;0
language-232;kabyle;kabyle;Kabyle;kab;;;0
language-233;kachin;"kachin; jingpho";"Kachin; Jingpho";kac;;;0
language-234;kachoube;kachoube;Kashubian;csb;;;0
language-235;kalmouk;"kalmouk; oïrat";"Kalmyk; Oirat";xal;;;0
language-236;kamba;kamba;Kamba;kam;;;0
language-237;kannada;kannada;Kannada;kan;;kn;0
language-238;kanouri;kanouri;Kanuri;kau;;kr;0
language-239;karakalpak;karakalpak;Kara-Kalpak;kaa;;;0
language-240;karatchai balkar;karatchai balkar;Karachay-Balkar;krc;;;0
language-241;karen, langues;karen, langues;Karen languages;kar;;;0
language-242;karib;"karib; galibi; carib";Galibi Carib;car;;;0
language-243;kashmiri;kashmiri;Kashmiri;kas;;ks;0
language-244;kawi;kawi;Kawi;kaw;;;0
language-245;kazakh;kazakh;Kazakh;kaz;;kk;0
language-246;khasi;khasi;Khasi;kha;;;0
language-247;khmer central;khmer central;Central Khmer;khm;;km;0
language-248;khoïsan, langues;khoïsan, langues;Khoisan languages;khi;;;0
language-249;khotanais;"khotanais; sakan";"Khotanese; Sakan";kho;;;0
language-250;kikuyu;kikuyu;"Kikuyu; Gikuyu";kik;;ki;0
language-251;kimbundu;kimbundu;Kimbundu;kmb;;;0
language-252;kirdki;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-253;kirghiz;kirghiz;"Kirghiz; Kyrgyz";kir;;ky;0
language-254;kiribati;kiribati;Gilbertese;gil;;;0
language-255;kirmanjki;"zaza; dimili; dimli; kirdki; kirmanjki; zazaki";"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki";zza;;;0
language-256;klingon;klingon;"Klingon; tlhIngan-Hol";tlh;;;0
language-257;kom;kom;Komi;kom;;kv;0
language-258;kongo;kongo;Kongo;kon;;kg;0
language-259;konkani;konkani;Konkani;kok;;;0
language-260;kosrae;kosrae;Kosraean;kos;;;0
language-261;koumyk;koumyk;Kumyk;kum;;;0
language-262;kpellé;kpellé;Kpelle;kpe;;;0
language-263;krou, langues;krou, langues;Kru languages;kro;;;0
language-264;kuanyama;"kuanyama; kwanyama";"Kuanyama; Kwanyama";kua;;kj;0
language-265;kurde;kurde;Kurdish;kur;;ku;0
language-266;kurukh;kurukh;Kurukh;kru;;;0
language-267;kutenai;kutenai;Kutenai;kut;;;0
language-268;kwanyama;"kuanyama; kwanyama";"Kuanyama; Kwanyama";kua;;kj;0
language-269;lahnda;lahnda;Lahnda;lah;;;0
