identifier,label,property,version
03d538e4-b25b-4afe-9b86-2a13c7f2fdc9,RAS,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
ca7c1840-5a50-41db-85d8-22f4ddb69e0f,Plat recto,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
10be69b0-8c5f-4538-bedb-d327a979c50d,verso,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
e6b54664-2b5b-44f9-899b-6e901912ba1f,dos,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
166401fb-ab4a-44d2-b9b5-7b186d3dd7d1,coiffes,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
d900f453-ceb6-4b2a-b00a-7616ce809215,tranchefiles,ee179ec5-b09d-4202-8650-c31ec3ca14bc,0
b2fbc98c-37ca-4e57-94aa-4a6e23a83ed4,RAS,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
6aa15e7c-931c-4a3a-bea0-7475c9d664f6,morceaux du plat recto,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
e7762700-a24d-4271-95b8-a511f2026d1d,verso,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
9b2da4fb-4239-4f30-89a1-649f262bc456,dos,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
9fce4d21-cc66-4d67-ad67-9d039a6d9577,coiffes,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
c2b0461e-11c6-485d-8ad7-ea97d6b26db1,tranchefiles,5ca1fa09-dcc6-42af-86e5-70644b61fc75,0
d7552f40-61ae-46e1-afa4-2b7739524935,RAS,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
bb334138-dab4-46a9-9b6a-ea68fbbefb84,Plat recto,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
5badd23c-9554-4863-97ff-f2f227723a23,verso,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
e4de2a99-c299-4de7-b14f-b564b92af9c2,dos,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
52a33bae-cc09-4a65-9421-b6a374d70969,coiffes,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
868daf4d-e05a-4bb6-ac23-9720cf280e92,tranchefiles,4c585547-81d9-44f0-bc1d-e97b5ab5c3e8,0
526bbf3e-4766-4b13-9e95-1f4db747053f,RAS,02595554-4e3f-4089-9792-191d0f71d99b,0
db3f0c55-5bc4-4d44-aee9-84584c729d90,Plat recto,02595554-4e3f-4089-9792-191d0f71d99b,0
04ee9b44-7dc4-4c6b-ab88-c4e4be08ee09,verso,02595554-4e3f-4089-9792-191d0f71d99b,0
637eb076-605a-408a-9a01-4339f302e1cb,dos,02595554-4e3f-4089-9792-191d0f71d99b,0
ee343a98-81ee-48df-bfab-72c67953b84a,coiffes,02595554-4e3f-4089-9792-191d0f71d99b,0
cd8b63c8-8692-4a38-93b1-e0137ac6731b,tranchefiles,02595554-4e3f-4089-9792-191d0f71d99b,0
29b2e1f2-7649-4a11-a0e6-1c2630fa7ddc,RAS,404a800a-a6c7-4814-9d10-e57e2912d994,0
2bae7569-74aa-4957-bfd4-f163fc1d2589,recto,404a800a-a6c7-4814-9d10-e57e2912d994,0
15df8df6-2d9e-4053-be55-70d904c7cb6b,verso,404a800a-a6c7-4814-9d10-e57e2912d994,0
8b003cf5-af88-4ef0-8a42-2a65e92cf8af,RAS,9c574554-b342-4d60-b48f-8a554b010016,0
eb6aeff5-368d-4482-9196-855dbf290c6e,Emplacement,9c574554-b342-4d60-b48f-8a554b010016,0
51a4ac6f-4427-49a9-8578-1c15a115b99a,RAS,75371a44-188a-4ae1-aae8-6de2f43aec96,0
17034473-a918-4f35-8424-cda5710579b0,déformation,75371a44-188a-4ae1-aae8-6de2f43aec96,0
14b21d3b-9409-4fe1-a5d6-28612958eaf0,difficultés d’ouverture,75371a44-188a-4ae1-aae8-6de2f43aec96,0
2608ffdf-2ddf-4b52-97a8-7d598b8826de,RAS,585c8c55-4609-4c05-b215-ff8281a14693,0
209bef07-2b28-4d29-95b3-521d6bceea01,recto,585c8c55-4609-4c05-b215-ff8281a14693,0
06bc50d4-3e9a-43be-8e3d-4ad1cebdf833,verso,585c8c55-4609-4c05-b215-ff8281a14693,0
6fef43ff-1404-426b-b1d2-49e572a089fb,fragile,585c8c55-4609-4c05-b215-ff8281a14693,0
39b9f588-24b2-4909-95f9-74314dc79652,rompue,585c8c55-4609-4c05-b215-ff8281a14693,0
b9a1b500-ff4b-4a5d-bf05-31355e975214,RAS,d4857855-1a34-4087-8288-101ad4337c11,0
c06a2f89-49e8-4633-b985-062a95983c2c,tête,d4857855-1a34-4087-8288-101ad4337c11,0
50bf2f33-fa5b-45e3-b795-09abfbf0a75a,queue,d4857855-1a34-4087-8288-101ad4337c11,0
60a9ee16-9d43-4826-80d5-5bf90b815c20,gouttière,d4857855-1a34-4087-8288-101ad4337c11,0
d627deb3-5742-4967-8c0b-ec7d6efade95,RAS,3fb78836-a443-4210-a78a-c80b71c81f7c,0
350c7814-9bb2-44b1-936c-4994b4ce111e,détaché,3fb78836-a443-4210-a78a-c80b71c81f7c,0
f9ec90a0-cb36-47f6-bbe5-9d992985e5fc,mobile,3fb78836-a443-4210-a78a-c80b71c81f7c,0
a9c6c4fe-7f7f-4c00-98df-b24e38bba16b,fendu,3fb78836-a443-4210-a78a-c80b71c81f7c,0
8e4f1a5c-42cd-486a-9fc8-5b693a0a6eaa,couverture lâche,3fb78836-a443-4210-a78a-c80b71c81f7c,0
60bc4da2-b0e9-44b1-b894-62af3465e835,couverture fragile,3fb78836-a443-4210-a78a-c80b71c81f7c,0
f9f3b940-ad02-4594-aa20-1ae7d6365373,couverture rompue,3fb78836-a443-4210-a78a-c80b71c81f7c,0
dc4290fd-749a-4997-bd84-f20f9b270fb5,couverture inexistante,3fb78836-a443-4210-a78a-c80b71c81f7c,0
12f14995-38d2-469f-a99c-d0d6f4ee658a,Bon,b39952c3-db2b-4737-85ca-3064222212b6,0
620dc61b-014d-4176-bc36-42146fe9cfdf,Moyen,b39952c3-db2b-4737-85ca-3064222212b6,0
80b7b860-c938-45c9-80b0-ed3728095a34,Mauvais,b39952c3-db2b-4737-85ca-3064222212b6,0
